436,214.5,4,25.958000004291534
912,-75.5,4,27.47
945,-75.5,4,27.47
241,358.5,3,94.94300000429153
927,-78.5,2,28.964000012874603
927,-74.5,1,25.975999987125398
169,133.5,1,25.985
507,363.5,4,27.479000012874604
264,192.5,0,25.97600000858307
514,373.5,0,27.47899999141693
156,380.5,2,27.496999995708464
536,170.5,0,27.47899999141693
595,241.5,2,27.488000004291536
191,391.5,4,30.475999987125398
108,233.5,5,28.981999995708463
280,230.5,2,28.981999995708463
392,372.5,2,28.955
719,384.5,4,34.96699999570846
397,237.5,3,27.496999995708464
314,156.5,4,30.485
201,303.5,5,27.479000012874604
418,497.5,0,28.981999995708463
565,411.5,1,29
579,231.5,4,27.479000012874604
929,-61.5,2,27.460999987125398
705,-80.5,1,27.97399999141693
803,-67.5,2,25.985
914,-73.5,4,27.488000004291536
125,266.5,4,28.963999991416934
194,112.5,4,27.488000004291536
438,298.5,2,25.966999995708466
522,443.5,4,29
270,439.5,1,28.955
244,486.5,1,25.985
236,482.5,5,27.488000004291536
195,346.5,3,26.011999995708464
195,346.5,5,27.488000004291536
253,258.5,3,43.97600000858307
256,259.5,3,25.975999987125398
354,387.5,4,46.973000004291535
354,387.5,0,29
354,387.5,1,25.985
579,207.5,1,66.50300000429152
579,207.5,0,25.97600000858307
579,207.5,0,25.96700001716614
466,339.5,1,243.49700001716613
439,334.5,5,145.95499999999998
217,326.5,4,40.96099998712539
529,341.5,5,89.00300000429154
242,358.5,2,75.47600000858307
488,358.5,5,30.466999995708466
